entity_index,num_replicates,modality
1384,8,Compound
1385,4,Compound
1386,4,Compound
1387,4,Compound
1388,4,Compound
1389,4,Compound
1390,4,Compound
1391,8,Compound
1392,8,Compound
1393,9,Compound
1394,4,Compound
1395,4,Compound
1396,4,Compound
1397,10,Compound
1398,3,Compound
1399,6,Compound
1400,10,Compound
1401,5,Compound
1402,8,Compound
1403,4,Compound
1404,3,Compound
1405,10,Compound
1406,4,Compound
1407,3,Compound
1408,8,Compound
1409,4,Compound
1410,5,Compound
1411,11,Compound
1412,5,Compound
1413,4,Compound
1414,3,Compound
1415,4,Compound
1416,4,Compound
1417,5,Compound
1418,3,Compound
1419,3,Compound
1420,8,Compound
1421,7,Compound
1422,5,Compound
1423,5,Compound
1424,4,Compound
1425,5,Compound
1426,4,Compound
1427,3,Compound
1428,5,Compound
1429,4,Compound
1430,4,Compound
1431,3,Compound
1432,3,Compound
1433,4,Compound
1434,6,Compound
1435,4,Compound
1436,10,Compound
1437,3,Compound
1438,5,Compound
1439,4,Compound
1440,3,Compound
1441,2,Compound
1442,5,Compound
1443,3,Compound
1444,4,Compound
1445,4,Compound
1446,7,Compound
1447,7,Compound
1448,5,Compound
1449,4,Compound
1450,3,Compound
1451,6,Compound
1452,4,Compound
1453,7,Compound
1454,4,Compound
1455,7,Compound
1456,5,Compound
1457,4,Compound
1458,4,Compound
1459,7,Compound
1460,4,Compound
1461,2,Compound
1462,5,Compound
1463,8,Compound
1464,7,Compound
1465,4,Compound
1466,8,Compound
1467,5,Compound
1468,4,Compound
1469,6,Compound
1470,5,Compound
1471,3,Compound
1472,8,Compound
1473,8,Compound
1474,3,Compound
1475,3,Compound
1476,7,Compound
1477,4,Compound
1478,8,Compound
1479,7,Compound
1480,5,Compound
1481,7,Compound
1482,4,Compound
1483,4,Compound
1484,10,Compound
1485,3,Compound
1486,3,Compound
1487,4,Compound
1488,3,Compound
1489,5,Compound
1490,4,Compound
1491,5,Compound
1492,3,Compound
1493,4,Compound
1494,9,Compound
1495,3,Compound
1496,4,Compound
1497,3,Compound
1498,3,Compound
1499,5,Compound
1500,7,Compound
1501,4,Compound
1502,6,Compound
1503,4,Compound
1504,5,Compound
1505,3,Compound
1506,5,Compound
1507,5,Compound
1508,5,Compound
1509,4,Compound
1510,8,Compound
1511,5,Compound
1512,4,Compound
1513,4,Compound
1514,7,Compound
1515,4,Compound
1516,7,Compound
1517,7,Compound
1518,3,Compound
1519,3,Compound
1520,7,Compound
1521,4,Compound
1522,7,Compound
1523,8,Compound
1524,3,Compound
1525,8,Compound
1526,8,Compound
1527,3,Compound
1528,3,Compound
1529,7,Compound
1530,4,Compound
1531,7,Compound
