setting,active_threshold,topk,baseline,metric,direction,n_queries,mean_delta,ci95_low,ci95_high,paired_win_rate,wilcoxon_greater_p
low_morgan_lt_0.30,-1.5,10,Morgan,top_median_absdiff,baseline_minus_cgp,121,0.6592099435082907,0.5015974655031242,0.8184947544195201,0.7520661157024794,4.732660005990686e-12
low_morgan_lt_0.30,-1.5,10,NYAN,top_active_fraction,cgp_minus_baseline,121,0.19421487603305784,0.1512190082644628,0.2396694214876033,0.628099173553719,3.7273887832157804e-12
low_morgan_lt_0.30,-1.5,10,NYAN,active_lift,cgp_minus_baseline,121,3.032057682827339,2.330034290109278,3.7458368563499165,0.628099173553719,2.9862825790543033e-12
low_morgan_lt_0.30,-1.5,10,NYAN,top_mean_absdiff,baseline_minus_cgp,121,0.5178084744303102,0.3949418548281254,0.6397712990110485,0.7851239669421488,5.310383304960002e-13
low_morgan_lt_0.30,-1.5,10,NYAN,top_median_absdiff,baseline_minus_cgp,121,0.6143196929748409,0.4663907726100345,0.7650980220238456,0.7933884297520661,3.1235187912916187e-12
low_morgan_lt_0.30,-1.5,10,RDKit2D,top_active_fraction,cgp_minus_baseline,121,0.1776859504132231,0.1322314049586777,0.21985537190082635,0.6611570247933884,2.2020925650867543e-11
low_morgan_lt_0.30,-1.5,10,RDKit2D,active_lift,cgp_minus_baseline,121,2.7712307303617463,2.0897856974709805,3.45867487478779,0.6611570247933884,4.040542398140802e-11
low_morgan_lt_0.30,-1.5,10,RDKit2D,top_mean_absdiff,baseline_minus_cgp,121,0.44764869405786034,0.32896457513621846,0.5699917912679557,0.768595041322314,5.415614448270323e-11
low_morgan_lt_0.30,-1.5,10,RDKit2D,top_median_absdiff,baseline_minus_cgp,121,0.5664142127305631,0.418026681285732,0.7301812758448573,0.7603305785123967,1.946139002818291e-10
low_morgan_lt_0.30,-1.5,50,AtomPair,top_active_fraction,cgp_minus_baseline,121,0.15719008264462805,0.13090909090909092,0.1861198347107438,0.8264462809917356,2.2638737046556418e-17
low_morgan_lt_0.30,-1.5,50,AtomPair,active_lift,cgp_minus_baseline,121,2.4529558595760688,2.060845626598381,2.868024710981199,0.8264462809917356,2.0853652284375334e-17
low_morgan_lt_0.30,-1.5,50,AtomPair,top_mean_absdiff,baseline_minus_cgp,121,0.36778316680339074,0.28314014080013694,0.44710515877234375,0.7851239669421488,3.8141493041987713e-14
low_morgan_lt_0.30,-1.5,50,AtomPair,top_median_absdiff,baseline_minus_cgp,121,0.4056219333909791,0.31612249208625776,0.4967822462146727,0.7603305785123967,2.54095561860853e-13
low_morgan_lt_0.30,-1.5,50,Avalon,top_active_fraction,cgp_minus_baseline,121,0.17983471074380164,0.15454132231404957,0.20611570247933883,0.8512396694214877,2.5725469235621976e-18
low_morgan_lt_0.30,-1.5,50,Avalon,active_lift,cgp_minus_baseline,121,2.8072387935155243,2.397090076769536,3.239860821279399,0.8512396694214877,3.0682176568545e-18
low_morgan_lt_0.30,-1.5,50,Avalon,top_mean_absdiff,baseline_minus_cgp,121,0.4315624326956458,0.3567992904498218,0.5122516886626375,0.8429752066115702,7.585864780426326e-17
low_morgan_lt_0.30,-1.5,50,Avalon,top_median_absdiff,baseline_minus_cgp,121,0.4741973678311064,0.378110631231665,0.572028183767573,0.8016528925619835,1.1982297943586732e-15
low_morgan_lt_0.30,-1.5,50,Morgan,top_active_fraction,cgp_minus_baseline,121,0.18462809917355372,0.15818181818181823,0.2110743801652893,0.8512396694214877,3.893284582041756e-19
low_morgan_lt_0.30,-1.5,50,Morgan,active_lift,cgp_minus_baseline,121,2.8790411277793133,2.4694058233337186,3.285489052032309,0.8512396694214877,2.869311430080428e-19
low_morgan_lt_0.30,-1.5,50,Morgan,top_mean_absdiff,baseline_minus_cgp,121,0.4414038722206403,0.3646559934760939,0.5255640449093164,0.8677685950413223,3.752371578992116e-18
low_morgan_lt_0.30,-1.5,50,Morgan,top_median_absdiff,baseline_minus_cgp,121,0.48258939482827773,0.39680649200434515,0.5720987010550261,0.859504132231405,1.2563045399468744e-17
low_morgan_lt_0.30,-1.5,50,NYAN,top_active_fraction,cgp_minus_baseline,121,0.16925619834710745,0.1444628099173554,0.19404958677685952,0.8347107438016529,9.015602705752874e-19
low_morgan_lt_0.30,-1.5,50,NYAN,active_lift,cgp_minus_baseline,121,2.643609947737302,2.2426097096486073,3.045766144919998,0.8347107438016529,9.21968596812138e-19
low_morgan_lt_0.30,-1.5,50,NYAN,top_mean_absdiff,baseline_minus_cgp,121,0.401930616207061,0.3264795717447733,0.47877060853004094,0.8347107438016529,8.094861896566385e-17
low_morgan_lt_0.30,-1.5,50,NYAN,top_median_absdiff,baseline_minus_cgp,121,0.44243543665213436,0.3540791742719156,0.5370044307537065,0.7933884297520661,1.1025135352361086e-15
low_morgan_lt_0.30,-1.5,50,RDKit2D,top_active_fraction,cgp_minus_baseline,121,0.15487603305785125,0.12743388429752064,0.18413223140495869,0.7933884297520661,1.4410602867687195e-17
low_morgan_lt_0.30,-1.5,50,RDKit2D,active_lift,cgp_minus_baseline,121,2.4163279392924997,2.0267955883566606,2.8462976890967138,0.7933884297520661,1.733603165548484e-17
